year,Total_FA_Conc_WWT,Total_FA_Conc_DWT,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
2019,76.7,363.25,2019-90,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,44.92,0,29.4,0.6171,0.1303,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.2111489223788689,21.114892237886888,363.25072908672297,4.735993860322333
2019,96.92,409.03,2019-91,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,39.11,0,20.7,0.5651,0.1339,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.23694921252875595,23.694921252875595,409.03280059746083,4.220313666915609
2019,23.93,198.6,2019-92,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,46.98,0,33.7,0.6216,0.0749,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.12049549549549547,12.049549549549548,198.59663551401871,8.29906542056075
2019,NA,NA,2019-93,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,48.55,0,37.6,0.9526,0.1584,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.16628175519630486,16.628175519630485,NA,6.013888888888888
2019,17.86,172.47,2019-94,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,45.03,0,27.8,1.1962,0.1239,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.10357799699046982,10.357799699046982,172.4304439063761,9.6545601291364
2019,25.95,217.43,2019-95,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,43.22,0,30.4,0.6477,0.0773,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.11934537594565384,11.934537594565384,217.43615782664943,8.379042690815007
2019,36.36,223.63,2019-96,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,50.09,0,40.6,0.6292,0.1023,4/20/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.1625874125874126,16.25874125874126,223.63354838709674,6.150537634408602
2019,11.58,130.05,2019-97,201901,QP2524,0.015728067046296,272251.0011812556,162,163,2,54.86,0,NA,0.893,0.0795,4/26/2021,0,60.16502,-172.99523,60,2.9,4,EBS,9,0.08902575587905935,8.902575587905934,130.07471698113207,11.232704402515724
2019,101.13,449.47,2019-98,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,41.65,0,25,0.9324,0.2098,4/26/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.225010725010725,22.5010725010725,449.44524308865584,4.444232602478551
2019,31.52,213.17,2019-99,201902,AA-23,0.014365230067056,72158.1335740092,162,42,2,48.34,0,37.2,0.819,0.1211,4/26/2021,0,63.6616,-172.72117,56,0.3,8,NBS,12,0.14786324786324787,14.786324786324787,213.1699421965318,6.763005780346821
