REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
NBS,CC-06,-164.53,64.33,STANDARD
NBS,CC-07,-163.79,64.33,STANDARD
NBS,CC-08,-163.06,64.33,STANDARD
NBS,CC-09,-162.27,64.33,STANDARD
NBS,CC-10,-161.56,64.33,STANDARD
NBS,CC-18,-169.09,64.33,STANDARD
NBS,CC-19,-169.85,64.33,STANDARD
NBS,CC-20,-170.6,64.33,STANDARD
NBS,CC-21,-171.36,64.33,STANDARD
NBS,DD-01,-168.36,64.67,STANDARD
NBS,DD-02,-167.6,64.67,STANDARD
NBS,DD-03,-166.84,64.67,STANDARD
NBS,DD-18,-169.13,64.67,STANDARD
NBS,DD-19,-169.89,64.67,STANDARD
NBS,DD-20,-170.65,64.67,STANDARD
NBS,EE-01,-168.39,65,STANDARD
NBS,EE-02,-167.62,65,STANDARD
NBS,EE-18,-169.16,65,STANDARD
NBS,EE-19,-169.93,65,STANDARD
NBS,FF-01,-168.42,65.33,STANDARD
NBS,FF-02,-167.67,65.33,STANDARD
NBS,FF-18,-169.2,65.33,STANDARD
NBS,NBS-1,-175.19,62.24,MODIFIED_2018
NBS,NBS-10,-172,63.25,MODIFIED_2018
NBS,NBS-11,-171.97,62.81,MODIFIED_2018
NBS,NBS-12,-171.91,62.24,MODIFIED_2018
NBS,NBS-13,-171.82,61.75,MODIFIED_2018
NBS,NBS-14,-171.76,61.25,MODIFIED_2018
NBS,NBS-15,-171.11,64.23,MODIFIED_2018
NBS,NBS-16,-171.26,63.87,MODIFIED_2018
NBS,NBS-17,-171.11,63.26,MODIFIED_2018
NBS,NBS-18,-170.9,62.75,MODIFIED_2018
NBS,NBS-19,-170.82,62.24,MODIFIED_2018
NBS,NBS-2,-174.08,62.74,MODIFIED_2018
NBS,NBS-20,-170.76,61.74,MODIFIED_2018
NBS,NBS-21,-170.66,61.24,MODIFIED_2018
NBS,NBS-22,-170.59,60.75,MODIFIED_2018
NBS,NBS-23,-170.04,64.74,MODIFIED_2018
NBS,NBS-24,-169.97,64.25,MODIFIED_2018
NBS,NBS-25,-169.94,63.75,MODIFIED_2018
NBS,NBS-26,-169.73,62.76,MODIFIED_2018
NBS,NBS-27,-169.66,62.25,MODIFIED_2018
NBS,NBS-28,-169.59,61.75,MODIFIED_2018
NBS,NBS-29,-169.5,61.24,MODIFIED_2018
NBS,NBS-3,-173.99,62.25,MODIFIED_2018
NBS,NBS-30,-169.49,60.75,MODIFIED_2018
NBS,NBS-31,-168.97,65.24,MODIFIED_2018
NBS,NBS-32,-168.87,64.74,MODIFIED_2018
NBS,NBS-33,-168.81,64.26,MODIFIED_2018
NBS,NBS-34,-168.81,63.75,MODIFIED_2018
NBS,NBS-35,-168.63,62.25,MODIFIED_2018
NBS,NBS-36,-168.67,62.75,MODIFIED_2018
NBS,NBS-37,-168.62,61.77,MODIFIED_2018
NBS,NBS-38,-168.6,61.26,MODIFIED_2018
NBS,NBS-39,-168.53,60.75,MODIFIED_2018
NBS,NBS-4,-173.12,63.25,MODIFIED_2018
